#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000007l_37        -            227 117225at2157         -            147   1.1e-17   63.0   2.8   1   1   6.3e-18   7.6e-15   53.7   2.8     8   126    23   168    16   185 0.79 # 52002 # 52682 # 1 # ID=7_37;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=11bp;gc_cont=0.410
ptg000007l_517       -            228 117225at2157         -            147   1.5e-17   62.5   2.7   1   1   7.6e-18   9.2e-15   53.5   2.7     8   129    26   174    21   188 0.79 # 784650 # 785333 # -1 # ID=7_517;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=14bp;gc_cont=0.399
ptg000002l_58        -            355 117225at2157         -            147   9.2e-05   21.0   0.1   1   1   1.3e-07   0.00016   20.2   0.1    76   133   246   303   208   313 0.81 # 93641 # 94705 # 1 # ID=2_58;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.392
ptg000009l_274       -            319 117225at2157         -            147   0.00026   19.6   0.0   1   1     4e-07   0.00049   18.7   0.0    75   130   209   264   177   276 0.85 # 359396 # 360352 # -1 # ID=9_274;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.411
ptg000007l_137       -            188 117225at2157         -            147    0.0019   16.8   0.0   1   2       1.4   1.6e+03   -2.5   0.0    36    54    58    76    44    93 0.61 # 212461 # 213024 # 1 # ID=7_137;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.420
ptg000007l_137       -            188 117225at2157         -            147    0.0019   16.8   0.0   2   2   3.3e-06    0.0041   15.7   0.0    68   113   105   152   102   169 0.77 # 212461 # 213024 # 1 # ID=7_137;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.420
ptg000005l_900       -            195 117225at2157         -            147    0.0021   16.7   0.0   1   2      0.71   8.6e+02   -1.6   0.0    35    51    71    87    65    95 0.76 # 1324867 # 1325451 # -1 # ID=5_900;partial=00;start_type=GTG;rbs_motif=AAAAAA;rbs_spacer=9bp;gc_cont=0.424
ptg000005l_900       -            195 117225at2157         -            147    0.0021   16.7   0.0   2   2   5.6e-06    0.0068   15.0   0.0    83   120   136   174   127   188 0.75 # 1324867 # 1325451 # -1 # ID=5_900;partial=00;start_type=GTG;rbs_motif=AAAAAA;rbs_spacer=9bp;gc_cont=0.424
ptg000015l_55        -            321 117225at2157         -            147    0.0038   15.8   0.1   1   1   5.4e-06    0.0066   15.0   0.1    77   133   210   266   171   276 0.86 # 77927 # 78889 # -1 # ID=15_55;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-41-2022/Assembly/busco_downloads/lineages/archaea_odb10/hmms/117225at2157.hmm
# Target file:     /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/inf-41-2022/Assembly/Busco/auto_lineage/run_archaea_odb10/hmmer_output/117225at2157.out --cpu 1 /home/inf-41-2022/Assembly/busco_downloads/lineages/archaea_odb10/hmms/117225at2157.hmm /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/inf-41-2022/Assembly
# Date:            Thu Feb 23 22:59:35 2023
# [ok]
