#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000008l_163       -            369 21317at2157          -            319   1.3e-95  319.0   2.4   1   1   2.3e-95   1.2e-92  309.4   2.4     2   317     1   367     1   368 0.85 # 249314 # 250420 # -1 # ID=8_163;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
ptg000012l_100       -            370 21317at2157          -            319   1.4e-86  289.4   0.2   1   1   2.5e-87   1.2e-84  283.0   0.2     2   317     2   368     1   369 0.85 # 144316 # 145425 # 1 # ID=12_100;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.437
ptg000015l_301       -            519 21317at2157          -            319   7.3e-16   57.0   0.0   1   1   2.4e-18   1.2e-15   56.3   0.0    50   177   327   457   299   473 0.85 # 441274 # 442830 # 1 # ID=15_301;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.425
ptg000008l_122       -            412 21317at2157          -            319   2.9e-15   55.0   0.0   1   2   1.4e-10   6.9e-08   30.8   0.0    65   102     7    44     3    51 0.91 # 179534 # 180769 # 1 # ID=8_122;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
ptg000008l_122       -            412 21317at2157          -            319   2.9e-15   55.0   0.0   2   2   8.2e-08   4.1e-05   21.7   0.0   107   183    75   152    64   168 0.87 # 179534 # 180769 # 1 # ID=8_122;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
ptg000003l_381       -            648 21317at2157          -            319     7e-14   50.5   0.0   1   1   3.8e-16   1.9e-13   49.1   0.0    64   149   169   256   165   306 0.79 # 569877 # 571820 # -1 # ID=3_381;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
ptg000007l_195       -            527 21317at2157          -            319   5.3e-10   37.8   0.3   1   1   3.8e-12   1.9e-09   35.9   0.3    54   148   267   363   222   410 0.72 # 302962 # 304542 # -1 # ID=7_195;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
ptg000002l_193       -            395 21317at2157          -            319   3.3e-08   31.9   0.1   1   3     3e-05     0.015   13.3   0.0    66   100    24    59     7    64 0.88 # 281476 # 282660 # -1 # ID=2_193;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
ptg000002l_193       -            395 21317at2157          -            319   3.3e-08   31.9   0.1   2   3   8.3e-05     0.042   11.8   0.0   111   150    88   127    80   169 0.85 # 281476 # 282660 # -1 # ID=2_193;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
ptg000002l_193       -            395 21317at2157          -            319   3.3e-08   31.9   0.1   3   3     0.046        23    2.8   0.0   300   314   372   386   361   390 0.85 # 281476 # 282660 # -1 # ID=2_193;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
ptg000015l_51        -            406 21317at2157          -            319   1.5e-06   26.5   0.1   1   3   3.2e-06    0.0016   16.5   0.0    67    99    21    54     8    65 0.89 # 73367 # 74584 # -1 # ID=15_51;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.377
ptg000015l_51        -            406 21317at2157          -            319   1.5e-06   26.5   0.1   2   3    0.0065       3.2    5.6   0.0   113   157    85   130    76   194 0.87 # 73367 # 74584 # -1 # ID=15_51;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.377
