#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000015l:510437-512728   -            764 8179at4891           -            324  1.4e-188  623.0   0.2   1   1  1.1e-189  2.8e-188  622.0   0.2    12   324   341   682   333   682 0.93 -
ptg000007l:445419-446474   -            352 8179at4891           -            324  2.4e-113  375.7   0.0   1   1  1.1e-114  2.9e-113  375.5   0.0    15   322    14   340     3   342 0.90 -
ptg000017l:213674-214837   -            388 8179at4891           -            324  9.2e-113  373.8   0.0   1   1  4.6e-114  1.2e-112  373.5   0.0    15   322    58   384    44   386 0.89 -
ptg000017l:141802-142617   -            272 8179at4891           -            324     4e-83  276.4   0.1   1   1   1.8e-84   4.6e-83  276.2   0.1    17   280     6   272     2   272 0.95 -
ptg000006l:642186-642983   -            266 8179at4891           -            324   7.4e-82  272.2   0.1   1   1   3.3e-83   8.3e-82  272.1   0.1    18   279     2   266     1   266 0.96 -
ptg000010l:58563-59585     -            341 8179at4891           -            324   2.9e-78  260.4   2.7   1   2   2.9e-48   7.3e-47  157.3   0.9    17   169    35   190    27   212 0.93 -
ptg000010l:58563-59585     -            341 8179at4891           -            324   2.9e-78  260.4   2.7   2   2     8e-32     2e-30  103.2   0.0   172   292   216   339   203   341 0.92 -
ptg000003l:775573-776346   -            258 8179at4891           -            324   4.8e-76  253.1   0.0   1   1   2.1e-77   5.3e-76  253.0   0.0    21   273     3   258     1   258 0.94 -
ptg000002l:15666-16565     -            300 8179at4891           -            324   2.5e-74  247.5   0.1   1   1   1.1e-75   2.7e-74  247.4   0.1    15   298     2   299     1   300 0.91 -
ptg000014l:67072-67932     -            287 8179at4891           -            324   7.3e-72  239.4   3.1   1   1   1.4e-69   3.5e-68  227.3   3.1    23   279     1   287     1   287 0.88 -
ptg000014l:443074-444303   -            410 8179at4891           -            324     5e-71  236.7   0.5   1   2     8e-47     2e-45  152.5   0.3    17   168    12   164     3   173 0.95 -
ptg000014l:443074-444303   -            410 8179at4891           -            324     5e-71  236.7   0.5   2   2   1.9e-25   4.8e-24   82.3   0.0   171   299   233   367   212   385 0.83 -
ptg000001l:199915-201399   -            495 8179at4891           -            324   5.4e-61  203.7   1.3   1   2   1.6e-37     4e-36  122.0   0.2    21   172     4   157     2   163 0.96 -
ptg000001l:199915-201399   -            495 8179at4891           -            324   5.4e-61  203.7   1.3   2   2   5.6e-25   1.4e-23   80.7   0.1   169   299   353   495   306   495 0.83 -
