# BUSCO version is: 5.4.4 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	ptg000004l	328767	343496	-	4422.4	3519	https://www.orthodb.org/v10?query=0at4891	Midasin
6at4891	Complete	ptg000015l	303658	314892	+	4252.1	2957	https://www.orthodb.org/v10?query=6at4891	PIK-related kinase
23at4891	Complete	ptg000004l	39776	49207	-	2474.5	2193	https://www.orthodb.org/v10?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	ptg000006l	580759	587397	+	3449.4	1774	https://www.orthodb.org/v10?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	ptg000004l	286629	295490	-	1717.7	1698	https://www.orthodb.org/v10?query=50at4891	Protein CSF1
61at4891	Complete	ptg000005l	1350141	1359944	+	2068.3	1936	https://www.orthodb.org/v10?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Complete	ptg000015l	430606	437847	-	3299.1	1836	https://www.orthodb.org/v10?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	ptg000014l	116568	123266	+	3355.2	1831	https://www.orthodb.org/v10?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	ptg000008l	963278	971293	-	2038.9	1599	https://www.orthodb.org/v10?query=93at4891	protein kinase regulator activity
95at4891	Complete	ptg000005l	149665	156099	-	3250.4	1793	https://www.orthodb.org/v10?query=95at4891	Glutamate synthase
115at4891	Complete	ptg000016l	333338	340201	+	1745.3	1463	https://www.orthodb.org/v10?query=115at4891	transcriptional activator leucine zipper
145at4891	Complete	ptg000002l	494592	501695	+	1239.4	1233	https://www.orthodb.org/v10?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	ptg000002l	52334	60694	-	356.4	243	https://www.orthodb.org/v10?query=154at4891	Serine/threonine-protein kinase Tel1
170at4891	Complete	ptg000014l	623019	629675	-	2382.8	1637	https://www.orthodb.org/v10?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	ptg000013l	272033	277732	-	1390.6	1038	https://www.orthodb.org/v10?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Complete	ptg000008l	1001593	1006527	+	2559.9	1454	https://www.orthodb.org/v10?query=227at4891	Clathrin heavy chain
245at4891	Complete	ptg000011l	956175	961163	+	2452.6	1386	https://www.orthodb.org/v10?query=245at4891	DNA-directed RNA polymerase subunit
274at4891	Complete	ptg000017l	107823	113957	+	2846.2	1638	https://www.orthodb.org/v10?query=274at4891	Fatty acid synthase
300at4891	Complete	ptg000001l	79152	85520	-	1278.7	899	https://www.orthodb.org/v10?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
331at4891	Complete	ptg000006l	541300	546606	+	1281.5	1386	https://www.orthodb.org/v10?query=331at4891	BP28, C-terminal domain
364at4891	Complete	ptg000005l	684770	689533	+	1880.6	1240	https://www.orthodb.org/v10?query=364at4891	Pentafunctional AROM polypeptide
365at4891	Complete	ptg000005l	205827	211001	-	2554.8	1450	https://www.orthodb.org/v10?query=365at4891	DNA-directed RNA polymerase subunit
369at4891	Complete	ptg000017l	508472	513061	-	1371.1	923	https://www.orthodb.org/v10?query=369at4891	Phospholipase
394at4891	Complete	ptg000010l	48431	54697	-	1255.7	1104	https://www.orthodb.org/v10?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	ptg000011l	540469	544848	-	2266.5	1199	https://www.orthodb.org/v10?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	ptg000011l	608186	611839	-	2194.3	1056	https://www.orthodb.org/v10?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
