# BUSCO version is: 5.4.4 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	ptg000014l	623013	629678	-	1942.4	1399
83779at2759	Complete	ptg000007l	75129	76703	+	195.1	221
87842at2759	Complete	ptg000004l	414400	417153	+	344.4	623
97116at2759	Complete	ptg000007l	169425	173507	-	587.7	882
100698at2759	Complete	ptg000016l	363495	366023	+	831.8	499
142542at2759	Complete	ptg000010l	130250	134470	+	499.8	630
156083at2759	Complete	ptg000015l	430606	437844	-	3217.4	1937
160593at2759	Complete	ptg000008l	963275	971290	-	1341.2	1446
166920at2759	Complete	ptg000013l	217182	220712	-	560.9	773
176625at2759	Complete	ptg000008l	431061	434771	-	245.1	384
179362at2759	Complete	ptg000014l	598547	602482	-	695.2	1287
245208at2759	Complete	ptg000007l	823302	826214	+	1187.1	846
257318at2759	Complete	ptg000016l	253342	255504	+	292.9	354
261328at2759	Missing
261419at2759	Missing
270107at2759	Complete	ptg000017l	145059	147815	-	539.5	747
271586at2759	Complete	ptg000008l	507652	510726	+	225.5	411
290630at2759	Complete	ptg000010l	112400	115168	+	695.8	626
293315at2759	Complete	ptg000014l	343424	347827	-	556.5	597
296129at2759	Complete	ptg000014l	399410	402577	-	1050.9	714
299766at2759	Complete	ptg000011l	977016	979970	+	370.5	450
306227at2759	Complete	ptg000013l	427456	430095	+	433.2	540
320059at2759	Complete	ptg000003l	556351	558021	+	866.5	451
324863at2759	Complete	ptg000003l	432801	436100	-	520.4	532
325552at2759	Complete	ptg000007l	423619	425463	-	330.7	412
330169at2759	Complete	ptg000014l	97491	99143	-	247.5	301
331411at2759	Complete	ptg000007l	364740	366770	+	264.5	413
341721at2759	Complete	ptg000004l	140114	142102	-	248.6	386
345441at2759	Complete	ptg000009l	44663	46333	+	416.9	385
355408at2759	Complete	ptg000004l	362232	364292	-	536.4	546
369837at2759	Complete	ptg000005l	865241	867376	+	300.7	426
375960at2759	Complete	ptg000003l	57652	59718	-	245.4	360
383503at2759	Complete	ptg000005l	397999	399588	+	196.4	364
388820at2759	Complete	ptg000013l	468242	471058	-	524.5	600
390348at2759	Complete	ptg000007l	615710	618811	+	1098.6	752
392369at2759	Complete	ptg000007l	679996	681570	+	424.2	343
396755at2759	Complete	ptg000011l	50197	53427	-	319.1	669
418107at2759	Complete	ptg000004l	113078	114544	+	447.5	393
426305at2759	Complete	ptg000008l	112203	114503	+	428.1	482
450058at2759	Complete	ptg000005l	708540	710528	+	98.7	265
453044at2759	Complete	ptg000008l	177573	179030	-	358.6	290
457861at2759	Complete	ptg000003l	670606	671487	-	39.1	114
464990at2759	Complete	ptg000008l	498503	500428	-	277.7	399
491869at2759	Missing
513979at2759	Complete	ptg000002l	152804	154918	-	139.6	251
543764at2759	Complete	ptg000014l	267730	269163	+	156.8	243
549762at2759	Complete	ptg000015l	446609	448498	+	482.4	402
551907at2759	Complete	ptg000005l	557690	560764	+	282.4	369
570797at2759	Complete	ptg000004l	375519	378077	-	317.8	500
582756at2759	Complete	ptg000002l	183711	185432	+	234.9	350
598949at2759	Complete	ptg000003l	763851	766574	-	251.2	394
604979at2759	Complete	ptg000014l	735866	737260	-	351.1	285
621827at2759	Complete	ptg000007l	426000	427538	+	254.2	357
625387at2759	Complete	ptg000005l	651560	653653	+	133.9	337
655400at2759	Complete	ptg000008l	90309	91745	+	234.8	259
664730at2759	Complete	ptg000010l	249388	250878	+	607.8	356
671536at2759	Complete	ptg000008l	358923	360461	+	405.0	372
671846at2759	Complete	ptg000005l	252006	254183	+	130.0	363
673132at2759	Complete	ptg000005l	484629	485828	-	272.5	281
674160at2759	Complete	ptg000002l	224370	231848	+	636.1	1000
674169at2759	Complete	ptg000009l	531235	533211	+	136.8	245
679187at2759	Missing
679771at2759	Missing
687505at2759	Complete	ptg000007l	673559	674689	+	139.1	230
692986at2759	Complete	ptg000009l	479723	482125	+	192.0	409
708105at2759	Complete	ptg000003l	387038	388159	-	157.2	184
719531at2759	Complete	ptg000003l	722712	724049	-	364.2	288
720340at2759	Complete	ptg000013l	484794	485972	-	156.3	229
721605at2759	Missing
722805at2759	Complete	ptg000005l	591071	594046	+	203.1	382
734341at2759	Complete	ptg000006l	664542	665516	+	77.4	174
734666at2759	Complete	ptg000015l	444724	446277	+	489.8	390
736068at2759	Complete	ptg000006l	301130	302590	-	255.7	316
751335at2759	Complete	ptg000003l	297494	298927	-	162.4	342
759498at2759	Complete	ptg000007l	345700	348120	-	540.0	422
761109at2759	Complete	ptg000015l	438069	439946	-	371.0	389
768809at2759	Complete	ptg000004l	145811	147193	+	253.7	246
774318at2759	Complete	ptg000002l	71066	72439	-	273.9	272
777920at2759	Complete	ptg000008l	399898	401712	-	408.2	351
779909at2759	Complete	ptg000014l	156967	157875	-	258.0	228
801857at2759	Complete	ptg000014l	123404	124555	-	205.3	195
814241at2759	Complete	ptg000011l	796160	797494	-	209.3	318
817008at2759	Complete	ptg000011l	131243	132538	-	468.8	297
834694at2759	Complete	ptg000007l	696768	698843	-	394.7	326
836599at2759	Complete	ptg000009l	198302	199870	+	333.8	344
844748at2759	Complete	ptg000014l	194571	196022	-	207.5	313
855834at2759	Complete	ptg000017l	215371	217251	+	157.7	309
858842at2759	Complete	ptg000014l	555468	557237	+	213.9	323
865202at2759	Complete	ptg000017l	495866	496780	-	190.6	184
866359at2759	Complete	ptg000007l	535735	536775	-	335.4	260
869548at2759	Complete	ptg000003l	388436	389134	+	174.2	186
878143at2759	Complete	ptg000006l	103327	104685	-	343.0	326
887370at2759	Complete	ptg000015l	482902	484731	-	292.8	295
891751at2759	Complete	ptg000003l	121338	122993	+	241.7	224
898782at2759	Complete	ptg000002l	74385	76007	-	245.9	299
901894at2759	Complete	ptg000008l	864698	866545	+	225.4	344
905026at2759	Complete	ptg000017l	401856	404375	-	314.8	397
