#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000009l_255       -            607 665824at2            -            547  1.5e-104  349.7   0.0   1   1    5e-107  6.1e-104  347.7   0.0    23   528    60   559    49   575 0.80 # 331829 # 333649 # 1 # ID=9_255;partial=00;start_type=TTG;rbs_motif=AACAA;rbs_spacer=13bp;gc_cont=0.384
ptg000015l_105       -            693 665824at2            -            547   1.4e-90  303.6   0.2   1   2   4.8e-53   5.8e-50  169.5   0.2    17   188   201   375   193   389 0.92 # 140907 # 142985 # 1 # ID=15_105;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=8bp;gc_cont=0.436
ptg000015l_105       -            693 665824at2            -            547   1.4e-90  303.6   0.2   2   2   1.5e-41   1.9e-38  131.6   0.0   368   545   391   583   379   585 0.84 # 140907 # 142985 # 1 # ID=15_105;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=8bp;gc_cont=0.436
ptg000017l_49        -            463 665824at2            -            547   3.2e-30  104.3   0.0   1   2   3.5e-19   4.3e-16   57.7   0.0    34   167    53   190    25   213 0.86 # 84389 # 85777 # -1 # ID=17_49;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.391
ptg000017l_49        -            463 665824at2            -            547   3.2e-30  104.3   0.0   2   2   3.5e-15   4.2e-12   44.6   0.0   393   540   292   455   279   461 0.87 # 84389 # 85777 # -1 # ID=17_49;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.391
ptg000016l_179       -            735 665824at2            -            547   9.9e-24   82.9   0.9   1   2   1.5e-18   1.8e-15   55.7   0.2    34   193   344   502   327   508 0.91 # 237302 # 239506 # -1 # ID=16_179;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=7bp;gc_cont=0.393
ptg000016l_179       -            735 665824at2            -            547   9.9e-24   82.9   0.9   2   2   1.7e-09   2.1e-06   25.8   0.0   392   544   572   718   564   727 0.81 # 237302 # 239506 # -1 # ID=16_179;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=7bp;gc_cont=0.393
ptg000002l_328       -            668 665824at2            -            547   1.3e-20   72.7   0.0   1   3   0.00037      0.46    8.1   0.0    35    95    39   100    37   114 0.92 # 470289 # 472292 # -1 # ID=2_328;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.393
ptg000002l_328       -            668 665824at2            -            547   1.3e-20   72.7   0.0   2   3   2.5e-07   0.00031   18.6   0.0   134   159   254   279   246   291 0.87 # 470289 # 472292 # -1 # ID=2_328;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.393
ptg000002l_328       -            668 665824at2            -            547   1.3e-20   72.7   0.0   3   3   2.2e-14   2.7e-11   41.9   0.0   421   540   511   637   503   645 0.81 # 470289 # 472292 # -1 # ID=2_328;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.393
ptg000003l_159       -            619 665824at2            -            547   4.2e-20   71.0   0.0   1   3    0.0092        11    3.6   0.0    35    95    31    92    28   112 0.88 # 238793 # 240649 # 1 # ID=3_159;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.391
ptg000003l_159       -            619 665824at2            -            547   4.2e-20   71.0   0.0   2   3   3.1e-07   0.00038   18.3   0.0   131   159   210   238   205   255 0.85 # 238793 # 240649 # 1 # ID=3_159;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.391
ptg000003l_159       -            619 665824at2            -            547   4.2e-20   71.0   0.0   3   3   2.2e-15   2.7e-12   45.2   0.0   443   544   496   599   463   604 0.91 # 238793 # 240649 # 1 # ID=3_159;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.391
ptg000005l_347       -            463 665824at2            -            547   1.4e-07   29.6   0.2   1   2   7.4e-10     9e-07   27.0   0.3    63   210   201   352   196   383 0.88 # 489972 # 491360 # 1 # ID=5_347;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
ptg000005l_347       -            463 665824at2            -            547   1.4e-07   29.6   0.2   2   2      0.14   1.8e+02   -0.4   0.0   408   446   392   429   384   432 0.79 # 489972 # 491360 # 1 # ID=5_347;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-41-2022/Assembly/busco_downloads/lineages/bacteria_odb10/hmms/665824at2.hmm
# Target file:     /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/inf-41-2022/Assembly/Busco/auto_lineage/run_bacteria_odb10/hmmer_output/665824at2.out --cpu 1 /home/inf-41-2022/Assembly/busco_downloads/lineages/bacteria_odb10/hmms/665824at2.hmm /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/inf-41-2022/Assembly
# Date:            Thu Feb 23 23:00:41 2023
# [ok]
