#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000007l_195       -            527 984717at2            -            224   4.8e-15   54.6   0.5   1   1   3.5e-17   1.5e-14   53.0   0.5     3   100   278   382   276   415 0.72 # 302962 # 304542 # -1 # ID=7_195;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
ptg000008l_549       -            641 984717at2            -            224   5.1e-08   31.6   0.2   1   2       2.9   1.2e+03   -2.4   0.0    89   109   226   246   201   260 0.70 # 786268 # 788190 # -1 # ID=8_549;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
ptg000008l_549       -            641 984717at2            -            224   5.1e-08   31.6   0.2   2   2   3.6e-10   1.5e-07   30.0   0.0     2    60   339   395   338   408 0.88 # 786268 # 788190 # -1 # ID=8_549;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
ptg000008l_163       -            369 984717at2            -            224   8.1e-07   27.7   0.6   1   2   6.1e-09   2.6e-06   26.0   0.1     2    87    66   155    65   167 0.80 # 249314 # 250420 # -1 # ID=8_163;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
ptg000008l_163       -            369 984717at2            -            224   8.1e-07   27.7   0.6   2   2         1   4.4e+02   -0.9   0.1    90   108   241   258   215   277 0.69 # 249314 # 250420 # -1 # ID=8_163;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
ptg000002l_399       -            856 984717at2            -            224   1.1e-06   27.2   0.0   1   2    0.0015      0.65    8.4   0.0     2    24   190   212   189   219 0.92 # 575473 # 578040 # -1 # ID=2_399;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
ptg000002l_399       -            856 984717at2            -            224   1.1e-06   27.2   0.0   2   2   6.8e-06    0.0029   16.1   0.0    46    90   307   351   295   397 0.76 # 575473 # 578040 # -1 # ID=2_399;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
ptg000015l_301       -            519 984717at2            -            224   1.4e-06   26.9   0.6   1   1   5.8e-08   2.5e-05   22.8   0.6     4   105   344   448   342   509 0.73 # 441274 # 442830 # 1 # ID=15_301;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.425
ptg000014l_38        -            211 984717at2            -            224   2.1e-06   26.3   0.0   1   1   5.5e-09   2.3e-06   26.2   0.0     2    60    42    98    41   164 0.87 # 56204 # 56836 # 1 # ID=14_38;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000009l_123       -            521 984717at2            -            224   7.2e-06   24.6   0.0   1   2      0.24     1e+02    1.2   0.0    85   107   199   222   162   229 0.65 # 164113 # 165675 # 1 # ID=9_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ptg000009l_123       -            521 984717at2            -            224   7.2e-06   24.6   0.0   2   2   2.4e-07    0.0001   20.8   0.0     2   105   283   391   282   413 0.69 # 164113 # 165675 # 1 # ID=9_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
