# BUSCO version is: 5.4.4 
# The lineage dataset is: archaea_odb10 (Creation date: 2021-02-23, number of genomes: 404, number of BUSCOs: 194)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
860at2157	Missing
1642at2157	Duplicated	ptg000005l	1223749	1226277	+	495.5	608	https://www.orthodb.org/v10?query=1642at2157	Elongation factor 2
1642at2157	Duplicated	ptg000011l	575802	578330	+	495.5	608	https://www.orthodb.org/v10?query=1642at2157	Elongation factor 2
3905at2157	Duplicated	ptg000005l	205801	211002	-	705.5	661	https://www.orthodb.org/v10?query=3905at2157	DNA-directed RNA polymerase subunit
3905at2157	Duplicated	ptg000011l	540467	544849	-	622.8	705	https://www.orthodb.org/v10?query=3905at2157	DNA-directed RNA polymerase subunit
6590at2157	Complete	ptg000008l	72419	74674	+	277.8	388	https://www.orthodb.org/v10?query=6590at2157	Methionine--tRNA ligase
6736at2157	Missing
7046at2157	Duplicated	ptg000005l	1132322	1134145	-	223.3	409	https://www.orthodb.org/v10?query=7046at2157	Arginine--tRNA ligase
7046at2157	Duplicated	ptg000015l	285754	287685	-	221.1	424	https://www.orthodb.org/v10?query=7046at2157	Arginine--tRNA ligase
7724at2157	Complete	ptg000003l	556352	558025	+	331.9	378	https://www.orthodb.org/v10?query=7724at2157	tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3
7896at2157	Complete	ptg000011l	941422	944298	-	189.9	372	https://www.orthodb.org/v10?query=7896at2157	Alanine--tRNA ligase
8899at2157	Complete	ptg000002l	480194	481747	-	600.2	411	https://www.orthodb.org/v10?query=8899at2157	V-type ATP synthase beta chain
8922at2157	Missing
10236at2157	Missing
13010at2157	Complete	ptg000005l	613766	615592	-	584.0	493	https://www.orthodb.org/v10?query=13010at2157	ribosome biogenesis/translation initiation ATPase RLI
13531at2157	Complete	ptg000013l	409594	411036	-	217.1	322	https://www.orthodb.org/v10?query=13531at2157	Protein translocase subunit SecY
13565at2157	Missing
14061at2157	Duplicated	ptg000002l	145297	147036	-	553.8	465	https://www.orthodb.org/v10?query=14061at2157	CTP synthase
14061at2157	Duplicated	ptg000006l	124206	125942	-	542.1	469	https://www.orthodb.org/v10?query=14061at2157	CTP synthase
14454at2157	Complete	ptg000015l	140907	142985	+	342.3	319	https://www.orthodb.org/v10?query=14454at2157	Proline--tRNA ligase
14889at2157	Complete	ptg000007l	355301	357973	+	133.1	528	https://www.orthodb.org/v10?query=14889at2157	V-type ATP synthase subunit I
17053at2157	Complete	ptg000012l	141033	144041	-	363.7	442	https://www.orthodb.org/v10?query=17053at2157	translation initiation factor IF-2
17629at2157	Complete	ptg000009l	237131	238480	-	306.3	339	https://www.orthodb.org/v10?query=17629at2157	Adenosylhomocysteinase
18705at2157	Missing
19750at2157	Fragmented	ptg000006l	469377	473045	+	35.8	470	https://www.orthodb.org/v10?query=19750at2157	ATPase
21317at2157	Duplicated	ptg000008l	249314	250420	-	319.0	315	https://www.orthodb.org/v10?query=21317at2157	GTP-binding protein
21317at2157	Duplicated	ptg000012l	144316	145425	+	289.4	315	https://www.orthodb.org/v10?query=21317at2157	GTP-binding protein
22545at2157	Missing
22747at2157	Complete	ptg000001l	176792	178303	+	349.9	490	https://www.orthodb.org/v10?query=22747at2157	phenylalanine--tRNA ligase subunit alpha
22842at2157	Missing
23182at2157	Missing
23221at2157	Duplicated	ptg000008l	92032	93345	-	327.6	324	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	ptg000015l	452224	453537	+	324.6	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	ptg000007l	898152	899465	+	305.1	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	ptg000011l	1075465	1076778	+	304.9	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	ptg000003l	931996	933309	+	304.3	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
24257at2157	Missing
24288at2157	Complete	ptg000004l	95466	97139	-	267.2	313	https://www.orthodb.org/v10?query=24288at2157	aspartate--tRNA(Asn) ligase
25592at2157	Complete	ptg000009l	206608	208191	+	371.5	362	https://www.orthodb.org/v10?query=25592at2157	Translation initiation factor 2 subunit gamma
25871at2157	Complete	ptg000003l	229735	231360	+	283.4	368	https://www.orthodb.org/v10?query=25871at2157	signal recognition particle protein
29893at2157	Missing
30130at2157	Complete	ptg000009l	351316	352518	+	208.7	224	https://www.orthodb.org/v10?query=30130at2157	DNA repair and recombination protein RadA
31316at2157	Complete	ptg000017l	32347	33291	+	145.4	259	https://www.orthodb.org/v10?query=31316at2157	Dihydroorotate dehydrogenase
31722at2157	Complete	ptg000011l	445361	446524	+	168.4	226	https://www.orthodb.org/v10?query=31722at2157	50S ribosomal protein L3
32079at2157	Missing
32191at2157	Complete	ptg000002l	519794	521107	-	271.1	364	https://www.orthodb.org/v10?query=32191at2157	peptide chain release factor 1
