#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000011l_404       -            275 80501at2157          -            175   2.6e-24   84.8   0.0   1   1   1.8e-27   3.7e-24   84.3   0.0     4   174    99   272    96   273 0.89 # 600534 # 601358 # -1 # ID=11_404;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=8bp;gc_cont=0.419
ptg000010l_221       -            317 80501at2157          -            175   1.4e-16   59.6   1.4   1   3   7.8e-20   1.7e-16   59.4   0.0    28   150    68   188    45   194 0.85 # 325856 # 326806 # 1 # ID=10_221;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.386
ptg000010l_221       -            317 80501at2157          -            175   1.4e-16   59.6   1.4   2   3       1.6   3.4e+03   -3.5   0.0    83   105   223   245   217   248 0.72 # 325856 # 326806 # 1 # ID=10_221;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.386
ptg000010l_221       -            317 80501at2157          -            175   1.4e-16   59.6   1.4   3   3       1.3   2.8e+03   -3.2   0.3    25    31   285   291   271   309 0.50 # 325856 # 326806 # 1 # ID=10_221;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.386
ptg000006l_299       -           1223 80501at2157          -            175   5.4e-13   48.0  19.1   1   7   1.2e-05     0.026   13.2   1.1     4    99   182   285   179   301 0.76 # 469377 # 473045 # 1 # ID=6_299;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ptg000006l_299       -           1223 80501at2157          -            175   5.4e-13   48.0  19.1   2   7   2.2e-06    0.0047   15.6   0.1     2    47   637   682   636   693 0.86 # 469377 # 473045 # 1 # ID=6_299;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ptg000006l_299       -           1223 80501at2157          -            175   5.4e-13   48.0  19.1   3   7    0.0028         6    5.5   0.0     3    48   716   761   714   778 0.82 # 469377 # 473045 # 1 # ID=6_299;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ptg000006l_299       -           1223 80501at2157          -            175   5.4e-13   48.0  19.1   4   7   0.00076       1.6    7.3   0.1     2    48   785   831   784   848 0.85 # 469377 # 473045 # 1 # ID=6_299;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ptg000006l_299       -           1223 80501at2157          -            175   5.4e-13   48.0  19.1   5   7       1.3   2.7e+03   -3.2   0.1     2    30   864   892   863   915 0.80 # 469377 # 473045 # 1 # ID=6_299;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ptg000006l_299       -           1223 80501at2157          -            175   5.4e-13   48.0  19.1   6   7   2.9e-05     0.061   11.9   0.1     2    45   942   988   941  1006 0.77 # 469377 # 473045 # 1 # ID=6_299;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ptg000006l_299       -           1223 80501at2157          -            175   5.4e-13   48.0  19.1   7   7     0.063   1.3e+02    1.1   0.1     9    43  1163  1197  1161  1217 0.80 # 469377 # 473045 # 1 # ID=6_299;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ptg000002l_471       -            414 80501at2157          -            175    0.0024   16.5   0.2   1   3     0.041        86    1.7   0.0    13    38    80   105    76   127 0.87 # 678200 # 679441 # 1 # ID=2_471;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.415
ptg000002l_471       -            414 80501at2157          -            175    0.0024   16.5   0.2   2   3     0.012        25    3.5   0.0     6    33   155   182   151   188 0.72 # 678200 # 679441 # 1 # ID=2_471;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.415
ptg000002l_471       -            414 80501at2157          -            175    0.0024   16.5   0.2   3   3   0.00091       1.9    7.1   0.1     2    36   333   367   332   376 0.77 # 678200 # 679441 # 1 # ID=2_471;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.415
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-41-2022/Assembly/busco_downloads/lineages/archaea_odb10/hmms/80501at2157.hmm
# Target file:     /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/inf-41-2022/Assembly/Busco/auto_lineage/run_archaea_odb10/hmmer_output/80501at2157.out --cpu 1 /home/inf-41-2022/Assembly/busco_downloads/lineages/archaea_odb10/hmms/80501at2157.hmm /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/inf-41-2022/Assembly
# Date:            Thu Feb 23 22:59:45 2023
# [ok]
